"Serial","Participant","ActionType","ActionParameters","Date","Time","Group","Day","duration"
"116","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 5","7/17/19",11H 46M 9S,"Group2","Day1",1
"117","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 6","7/17/19",11H 46M 10S,"Group2","Day1",1
"118","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 8","7/17/19",11H 46M 11S,"Group2","Day1",1
"119","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 46M 12S,"Group2","Day1",1
"120","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 11","7/17/19",11H 46M 13S,"Group2","Day1",1
"121","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 13","7/17/19",11H 46M 14S,"Group2","Day1",1
"122","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 15","7/17/19",11H 46M 15S,"Group2","Day1",1
"123","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 17","7/17/19",11H 46M 16S,"Group2","Day1",1
"124","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 18","7/17/19",11H 46M 17S,"Group2","Day1",NA
"125","VAST32P","EditNotes","VAST32P_revision_28_July_18_8:22_AM.patch","7/18/19",8H 22M 0S,"Group2","Day2",120
"126","VAST32P","EditNotes","VAST32P_revision_31_July_18_8:24_AM.patch","7/18/19",8H 24M 0S,"Group2","Day2",NA
"127","VAST32P","EditNotes","VAST32P_revision_32_July_18_8:34_AM.patch","7/18/19",8H 34M 0S,"Group2","Day2",1
"128","VAST32P","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 34M 1S,"Group2","Day2",1
"129","VAST32P","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 34M 2S,"Group2","Day2",75
"130","VAST32P","Search","Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 35M 17S,"Group2","Day2",7
"131","VAST32P","Search","Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 35M 24S,"Group2","Day2",11
"132","VAST32P","GetDetail","Article 121","7/18/19",8H 35M 35S,"Group2","Day2",68
"133","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 36M 43S,"Group2","Day2",2
"134","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 36M 45S,"Group2","Day2",33
"135","VAST32P","AddElement","Elian Karel","7/18/19",8H 37M 18S,"Group2","Day2",3
"136","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 37M 21S,"Group2","Day2",4
"137","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 37M 25S,"Group2","Day2",12
"138","VAST32P","AddElement","Elian Kare (D)","7/18/19",8H 37M 37S,"Group2","Day2",2
"139","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 37M 39S,"Group2","Day2",3
"140","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 37M 42S,"Group2","Day2",5
"141","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 37M 47S,"Group2","Day2",7
"142","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 37M 54S,"Group2","Day2",6
"143","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 38M 0S,"Group2","Day2",9
"144","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 38M 9S,"Group2","Day2",7
"145","VAST32P","AddConnection","Elian Karel, Elian Kare (D)","7/18/19",8H 38M 16S,"Group2","Day2",2
"146","VAST32P","AddConnection","Elian Karel, Elian Kare (D)","7/18/19",8H 38M 18S,"Group2","Day2",2
"147","VAST32P","AddConnection","Elian Karel, Elian Kare (D)","7/18/19",8H 38M 20S,"Group2","Day2",2
"148","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 38M 22S,"Group2","Day2",39
"149","VAST32P","Search","Elian Karel from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 39M 1S,"Group2","Day2",34
"150","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 39M 35S,"Group2","Day2",8
"151","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 39M 43S,"Group2","Day2",13
"152","VAST32P","GetDetail","Article 133","7/18/19",8H 39M 56S,"Group2","Day2",7
"153","VAST32P","GetDetail","Article 302","7/18/19",8H 40M 3S,"Group2","Day2",21
"154","VAST32P","AddElement","Vann (?)","7/18/19",8H 40M 24S,"Group2","Day2",5
"155","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 40M 29S,"Group2","Day2",3
"156","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 40M 32S,"Group2","Day2",4
